study_key,study_label,family_key,family_label,contrast_key,contrast_label,contrast_display,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,pro_fraction_chosen,-0.05196969498240417,0.021585595985127545,-0.09427746311325416,-0.009661926851554183,0.016057327674869892,0.060473886636091954,1532,,0.00022438753289577562,0.15415034567875097
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,positive_interactions,0.07688716200357898,0.08629135475427661,-0.09224389331480318,0.24601821732196114,0.37291944115701603,0.24175258393052354,1641,,0.00022438753289577562,0.15415034567875097
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,platform_duration,,,,,,,0,,0.00022438753289577562,0.15415034567875097
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,pro_fraction_chosen,0.1279814330869657,0.027950384149354232,0.0731986801542314,0.1827641860197,4.674740268661992e-06,0.07830538307340981,1532,7.479584429859187e-05,0.00022438753289577562,0.00022438753289577562
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,positive_interactions,0.09587385559138584,0.10180441533208508,-0.10366279845950091,0.29541050964227256,0.3463229259356633,0.28521374513300274,1641,1.0,0.00022438753289577562,0.00022438753289577562
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,platform_duration,,,,,,,0,,0.00022438753289577562,0.00022438753289577562
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,pro_fraction_chosen,0.16554952411125518,0.0452573401401328,0.07684513743659489,0.25425391078591547,0.0002542310573161455,0.12679229514770674,1532,0.004067696917058328,0.00022438753289577562,0.004067696917058328
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,positive_interactions,-0.07117190020695213,0.08848929279498946,-0.24461091408513147,0.1022671136712272,0.4212239855489941,0.24791029465571282,1641,1.0,0.00022438753289577562,0.004067696917058328
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,platform_duration,,,,,,,0,,0.00022438753289577562,0.004067696917058328
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_conservative_seed,Moderates (conservative seed),True,pro_fraction_chosen,-0.11559934061221405,0.04238082390239798,-0.19866575546091408,-0.032532925763514006,0.006379050506585493,0.11873348977640694,1532,,0.00022438753289577562,0.07654860607902592
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_conservative_seed,Moderates (conservative seed),True,positive_interactions,0.17012825847874874,0.14909902674845757,-0.1221058339482281,0.4623623509057256,0.2538524265277817,0.41771362937350875,1641,,0.00022438753289577562,0.07654860607902592
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_conservative_seed,Moderates (conservative seed),True,platform_duration,,,,,,,0,,0.00022438753289577562,0.07654860607902592
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,pro_fraction_chosen,-0.20063720427790438,0.05046422461286078,-0.2995470845191115,-0.10172732403669725,7.013406192157845e-05,0.14137982571892335,1532,0.0011221449907452552,0.00022438753289577562,0.0016832174861178828
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,positive_interactions,0.24649604059511285,0.12806346287847475,-0.004508346646697664,0.4975004278369234,0.054254885113093954,0.35878070458069367,1641,0.43403908090475163,0.00022438753289577562,0.0016832174861178828
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,platform_duration,,,,,,,0,,0.00022438753289577562,0.0016832174861178828
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,pro_fraction_chosen,0.08051166044556485,0.03602109419555,0.009910315822286839,0.15111300506884284,0.02540912114943339,0.10091616503850771,1532,,0.00022438753289577562,0.2032729691954671
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,positive_interactions,0.005195881909411976,0.11475811430397168,-0.2197300221263725,0.23012178594519644,0.9638866674437989,0.3215046366925254,1641,,0.00022438753289577562,0.2032729691954671
study1,Study 1 – Gun Control (MTurk),platform,Platform interactions,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,platform_duration,,,,,,,0,,0.00022438753289577562,0.2032729691954671
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,ideologues_liberal,Ideologues (liberal),True,gun_index_w2,-0.006833069878470932,0.007719682110834374,-0.021963646815706304,0.00829750705876444,0.3760762062751706,0.021627347290244698,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,ideologues_conservative,Ideologues (conservative),True,gun_index_w2,0.01615532713506046,0.011052074497360927,-0.005506738879766958,0.03781739314988788,0.14381079083161108,0.03096332854128968,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,moderates_liberal_seed,Moderates (liberal seed),True,gun_index_w2,-0.004957290647757295,0.02164856860127185,-0.04738848510625012,0.03747390381073553,0.8188772297644071,0.06065030978662775,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,moderates_conservative_seed,Moderates (conservative seed),True,gun_index_w2,-0.01859911683596477,0.016946435302966727,-0.051814130029779554,0.014615896357850017,0.2724124628542559,0.04747688264449934,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,gun_index_w2,-0.046679467038190925,0.019766944361119483,-0.0854226779859851,-0.007936256090396741,0.018201599236005173,0.05537877912937383,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),policy,Gun policy attitudes,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,gun_index_w2,-0.03303764084998345,0.019129819858492353,-0.07053208777262845,0.004456806072661558,0.08416351441657888,0.05359382054071608,1618,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_liberal,Ideologues (liberal),True,trust_majornews_w2,-0.013499392039221014,0.013348238092311284,-0.039661938700151125,0.0126631546217091,0.3118614366700174,0.03739622652727174,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_liberal,Ideologues (liberal),True,trust_youtube_w2,0.003592678419725548,0.015444849359152276,-0.02667922632421291,0.033864583163664,0.8160616462726058,0.04327006166058256,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_liberal,Ideologues (liberal),True,fabricate_majornews_w2,-0.005570612971289246,0.010414581152348727,-0.02598319202989275,0.014841966087314258,0.5927287351135457,0.02917733660925811,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_liberal,Ideologues (liberal),True,fabricate_youtube_w2,0.008357500949597085,0.012056444538158502,-0.015273130345193578,0.03198813224438775,0.4881854223869633,0.033777156801103686,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_conservative,Ideologues (conservative),True,trust_majornews_w2,-0.03517188749103817,0.017752014590892706,-0.06996583608918787,-0.00037793889288846583,0.04755877063460856,0.04973378166957073,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_conservative,Ideologues (conservative),True,trust_youtube_w2,-0.0383635765987671,0.01867189377810573,-0.07496048840385433,-0.001766664793679873,0.03991608370122579,0.052310901602916515,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_conservative,Ideologues (conservative),True,fabricate_majornews_w2,-0.01737993660015469,0.014821881307101208,-0.046430823962073056,0.01167095076176368,0.2409617015807597,0.04152476357459966,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,ideologues_conservative,Ideologues (conservative),True,fabricate_youtube_w2,-0.011763116759140435,0.015691393556376155,-0.0425182481296377,0.018992014611356828,0.45346308764062915,0.04396077623913651,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_liberal_seed,Moderates (liberal seed),True,trust_majornews_w2,0.0211814480532021,0.025929830850213154,-0.02964102041321568,0.07200391651961988,0.4139994807467582,0.07264463081812679,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_liberal_seed,Moderates (liberal seed),True,trust_youtube_w2,-0.05521413437772105,0.030554749804069806,-0.11510144399369787,0.004673175238255771,0.07075359705724238,0.08560173539422207,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_liberal_seed,Moderates (liberal seed),True,fabricate_majornews_w2,0.007459960356543616,0.021502274991979403,-0.03468449862773602,0.04960441934082325,0.7286377553555299,0.060240455773329635,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_liberal_seed,Moderates (liberal seed),True,fabricate_youtube_w2,-0.03734223854157803,0.024427293618162833,-0.08521973403317717,0.010535256950021117,0.12633644846006487,0.06843514471915023,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_conservative_seed,Moderates (conservative seed),True,trust_majornews_w2,-0.015119813083222522,0.02592215322447215,-0.06592723340318793,0.03568760723674289,0.5597063935394846,0.07262312129534058,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_conservative_seed,Moderates (conservative seed),True,trust_youtube_w2,-0.0188524552373297,0.026693695076380686,-0.07117209758703585,0.033467187112376444,0.4800319106143762,0.07478466154280304,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_conservative_seed,Moderates (conservative seed),True,fabricate_majornews_w2,0.009032035120723259,0.02147057442384797,-0.03305029075001876,0.051114360991465276,0.6739957788367001,0.06015164393024682,1618,,0.5707052476153027,
